Sequence,Word,Meaning
9645,theory,n. 理论；原理；学说；推测
9646,erroneous,adj. 不正确的；错误的
9647,strongly,adv. 坚强地；激烈地；强有力地；气味浓地
9648,expendable,adj. 可消费的；排出的；不重复使用的；可牺牲的
9649,resin,n. 树脂；松香
9650,Mormon,n. 摩门教徒；一夫多妻主义者
9651,dispense,vt. 分配，分发；执行；免除
9652,hill,n. 小山；丘陵；斜坡；山冈
9653,ego,n. 自我；自我意识；自负
9654,motherfucker,羊驼
9655,airy,adj. 通风的；空气的；空中的；幻想的；轻快的
9656,revered,受人尊敬
9657,smallmouth,小嘴
9658,wild,adj. 野生的；野蛮的；狂热的；荒凉的
9659,taut,adj. 拉紧的；紧张的；整洁的
9660,syrup,n. 糖浆，果汁；含药糖浆
9661,renovate,vt. 革新；更新；修复；刷新
9662,frozen,adj. 冻结的；冷酷的
9663,handsome,adj. （男子）英俊的；大方的，慷慨的；可观的；健美而端庄的
9664,envelope,n. 信封，封皮；[生]包膜；[天]包层；[数]包迹
9665,pointless,adj. 钝的；不尖的；无意义的；不得要领的
9666,emigration,n. 移民；移民出境；移居外国
9667,bribe,vt. 贿赂，收买
9668,overt,adj. 明显的；公然的；[律]蓄意的
9669,investment,n. 投资；投入；[军]封锁
9670,sway,vt. 使摇动；统治；影响
9671,whiff,vt. 喷出；吸
9672,disapproving,不赞成
9673,kindly,adv. 亲切地；温和地；仁慈地
9674,ye,abbr. 亚萨卡，乒乓底板（Yasaka Extra）；酵母抽提物（Yeast Extracts）
9675,lose,vt. 使沉溺于；浪费；遗失；使迷路；错过
9676,herder,n. 牧人；（美俚）监狱看守
9677,gray-haired,花白头发
9678,heartily,衷心地
9679,emphysema,肺气肿
9680,closeness,n. 密闭；接近；严密；亲密
9681,gala,n. 节日，特别娱乐；祝贺，庆祝
9682,obstruction,n. 妨碍；障碍；阻碍
9683,simply,adv. 简单地；朴素地；简直；仅仅；坦白地
9684,impromptu,n. 即兴曲；即席演出
9685,cringe,vi. 奉承；畏缩；阿谀
9686,climax,n. 高潮；顶点；层进法；极点
9687,truffle,松露
9688,czar,n. （帝俄的）沙皇，皇帝；独裁者
9689,breeder,n. 饲养员；起因；[核]增殖反应堆；繁殖者
9690,smuggling,n. 走私
9691,roam,vi. 漫游，漫步；流浪
9692,memorable,adj. 显著的，难忘的；值得纪念的
9693,unease,不安
9694,plunk,n. 使劲投掷；一美元
9695,proclivity,n. 倾向；癖性
9696,caliber,n. 口径；才干；器量；水准（等于calibre）
9697,victor,n. 胜利者
9698,confinement,n. 限制；监禁；分娩
9699,share,vt. 分享，分担；分配
9700,shark,n. 鲨鱼；骗子
9701,glee,n. 快乐；欢欣；重唱歌曲
9702,upgrade,vt. 提升；使升级；改良品种
9703,humidity,n. 湿度；湿气
9704,vary,vi. 变化；违反；[生]变异
9705,contributing,adj. 起作用的；贡献的
9706,humiliation,n. 丢脸，耻辱；蒙羞；谦卑
9707,choral,adj. 合唱队的；合唱的
9708,tested,adj. 经受过考验的；经验定的
9709,anthropological,人类学
9710,indulge,vt. 满足；使沉迷于…；使高兴；纵容
9711,ambivalent,adj. 好恶相克的；矛盾的
9712,wrapping,n. 包装纸，包装材料
9713,worldview,世界观
9714,filling,n. 填充；填料
9715,unremarkable,adj. 不显著的；平凡的；不值得注意的
9716,lifeboat,n. 救生艇，救生船
9717,feeding,n. 饲养；输送；吃
9718,tuxedo,n. 男士无尾半正式晚礼服；无尾礼服
9719,dwindling,不断减少
9720,stasis,n. 郁积，停滞；血行停滞
9721,shot,n. 发射；炮弹；射手
9722,rejoin,vi. 回答；答辩；重新聚合
9723,unequivocal,adj. 不含糊的；明确的
9724,suicidal,adj. 自杀的，自杀性的；自我毁灭的；自取灭亡的
9725,arid,adj. 干旱的；不毛的，荒芜的
9726,down-to-earth,adj. 实际的；现实的
9727,attributable,adj. 可归于…的；可归属的
9728,doorway,n. 门口；途径
9729,biased,adj. 有偏见的；结果偏倚的，有偏的
9730,centimeter,n. 厘米；公分
9731,fundamentalism,原教旨主义
9732,ulcer,n. 溃疡；腐烂物；道德败坏
9733,dialectic,辩证法
9734,pervade,vt. 弥漫；遍及
9735,bungalow,n. 平房；小屋
9736,evergreen,n. [植]常绿树；[植]常绿植物
9737,foundry,n. 铸造，铸造类；铸造厂
9738,distant,adj. 遥远的；冷漠的；远隔的
9739,weld,vt. 焊接；使结合；使成整体
9740,unstable,adj. 不稳定的；动荡的；易变的
9741,paddy,n. 稻田（复数paddies）；[俚语]爱尔兰人；Patrick（男子名）和Patricia（女子名）的昵称
9742,recruiting,招聘
9743,substrate,n. 基质；酶作用物；基片；底层（等于substratum）
9744,inconvenient,adj. 不便的；打扰的
9745,miserable,adj. 悲惨的；痛苦的；卑鄙的
9746,patriarchal,adj. 家长的；族长的；由族长统治的
9747,Saudi,adj. 沙乌地阿拉伯（人或语）的
9748,recurrent,adj. 周期性的，经常发生的；复发的
9749,gambler,n. 赌徒；投机商人
9750,sleeping,adj. 睡着的
9751,generalized,adj. 广义的，普遍的；无显著特点的
9752,transistor,n. [电子]晶体管（收音机）
9753,caricature,n. 漫画；讽刺画；漫画手法
9754,foothold,立足
9755,adoptive,adj. 有收养关系的；采用的
9756,legally,adv. 合法地；法律上
9757,nestle,vi. 舒适地坐定；偎依；半隐半现地处于
9758,attire,n. 服装；盛装
9759,inform,vt. 通知；告诉；报告
9760,racing,n. 竞赛；赛马
9761,mackerel,青鱼
9762,colonialism,n. 殖民主义；殖民政策
9763,frontier,n. 边界；国境；前沿
9764,strainer,n. 过滤器；松紧扣；用力拉的人，拉紧者
9765,viable,adj. 能养活的；能生育的；可行的
9766,margarine,n. 人造黄油；人造奶油
9767,synopsis,n. 概要，大纲
9768,clothe,vt. 给…穿衣；覆盖；赋予
9769,abstinence,n. 节制；节欲；戒酒；禁食
9770,twist,vt. 捻；拧；扭伤；编织；使苦恼
9771,picking,n. 掘，撬开；采摘；采得物；赃物
9772,backcountry,边远地区
9773,prosaic,adj. 平凡的，乏味的；散文体的
9774,sub-Saharan,撒哈拉沙漠以南
9775,spreadsheet,n. 电子数据表；电子制表软件；试算表
9776,second-largest,第二大
9777,blatant,adj. 炫耀的；喧嚣的；俗丽的；公然的
9778,moderately,adv. 适度地；中庸地；有节制地
9779,overcast,adj. 阴暗的；愁闷的；阴天的
9780,informed,adj. 消息灵通的；见多识广的
9781,emotion,n. 情感；情绪
9782,statehood,建国
9783,combatant,n. 战士；争斗者
9784,routinely,adv. 例行公事地；老一套地
9785,distortion,n. 变形；扭曲；曲解；失真
9786,fanatical,adj. 狂热的
9787,familiar,adj. 熟悉的；常见的；亲近的
9788,hopelessness,绝望
9789,nominally,adv. 名义上地；有名无实地
9790,frock,n. 女装；连衣裙；僧袍；罩袍
9791,recast,vt. 重铸；彻底改动
9792,pornographic,adj. 色情的；色情作品的；春宫画的
9793,remind,vt. 提醒；使想起
9794,upstream,adv. 向上游；逆流地
9795,going,n. 离去；工作情况；行为；地面状况
9796,attainment,n. 达到；成就；学识
9797,repertoire,n. 全部节目；计算机指令系统；（美）某人或机器的全部技能
9798,excel,vt. 优于，胜过；擅长
9799,wrist,n. 腕关节；手腕
9800,detail,n. 细节，详情
9801,Tamil,n. 泰米尔语；泰米尔人
9802,rendezvous,n. 约会；约会地点；集结地
9803,thirsty,adj. 口渴的，口干的；渴望的，热望的
9804,mindless,adj. 不小心的；愚蠢的；不需要动脑筋的；不顾虑的
9805,ancestry,n. 祖先；血统
9806,bison,n. 北美野牛；欧洲野牛
9807,geographer,n. 地理学者
9808,flask,n. 烧瓶；长颈瓶，细颈瓶；酒瓶，携带瓶
9809,pimp,n. [俚]皮条客；男妓
9810,cohesion,n. 内聚力；结合；凝聚
9811,debacle,n. 崩溃；灾害；解冻
9812,hymn,n. 赞美诗；圣歌；欢乐的歌
9813,provocation,n. 激怒；挑拨；挑衅
9814,vibe,氛围
9815,funding,n. 提供资金；用发行长期债券的方法来收回短期债券
9816,centennial,adj. 一百年的
9817,accelerated,adj. 加速的；加快的
9818,twenty,n. 二十；二十年代
9819,at-risk,有危险的
9820,originality,n. 独创性，创造力；创意；新奇；原始
9821,deportation,n. 驱逐出境；放逐
9822,dwelling,n. 住处；寓所
9823,ardent,adj. 热情的；热心的；激烈的；燃烧般的
9824,reload,vi. 重新装；再装填弹药
9825,amen,int. （表示衷心赞成）阿门；（祈祷时的结尾语）阿门
9826,nicely,adv. 恰好地；漂亮地；精细地
9827,overstate,vt. 夸张；夸大的叙述
9828,decoy,n. 诱骗；诱饵
9829,righteousness,n. 正直；正义；公正；正当
9830,blare,n. 嘟嘟声；号声；巨响
9831,gobbler,n. 雄火鸡；狼吞虎咽的人
9832,regular-season,常规赛
9833,jolt,vt. 使颠簸；使摇动；使震惊
9834,menial,adj. 仆人的；卑微的；适合仆人做的
9835,subprime,次贷
9836,telling,adj. 有效的；显著的；生动的
9837,naturalistic,自然主义的
9838,detritus,n. 碎石，岩屑
9839,spit,vi. 吐口水；吐痰；发出劈啪声
9840,demon,n. 魔鬼；精力充沛的人；恶魔；邪恶的事物
9841,internally,adv. 内部地；内在地；国内地
9842,notepad,n. 记事手册；笔记本
9843,metaphysics,n. 玄学，形而上学
9844,unpretentious,adj. 谦逊的；含蓄的；不炫耀的；不铺张的
9845,appalling,adj. 令人震惊的；可怕的
9846,value,n. 价值；价格；重要性；值；确切涵义
9847,rep,n. 棱纹平布；雷普（物体伦琴当量）
9848,league,n. 联盟；社团；范畴
9849,tweed,n. 花呢；花呢服装
9850,cheerfully,adv. 高高兴兴地
9851,poodle,n. 狮子狗
9852,boiler,n. 锅炉；盛热水器；烧水壶，热水器
9853,powerhouse,强国
9854,learner,n. 初学者，学习者
9855,propriety,n. 适当；礼节；得体
9856,exalt,vt. 提升；提拔；赞扬；使得意
9857,ailing,adj. 生病的，身体不舒服的；体衰的
9858,unkempt,adj. 蓬乱的，不整洁的；（言语等）粗野的
9859,accentuate,vt. 强调；重读
9860,strike,vi. 罢工；打，打击；敲，敲击；抓；穿透；打动
9861,dew,n. 露水；清新；珠，滴
9862,penguin,n. 企鹅；[美俚]空军地勤人员
9863,fieldwork,n. 野外工作；现场工作；野战工事
9864,baggy,adj. 袋状的，膨胀的；宽松而下垂的
9865,validity,n. 有效性；正确性；正确
9866,primeval,adj. 原始的；初期的（等于primaeval）
9867,heck,int. 真见鬼（hell的委婉说法）
9868,adventurous,adj. 爱冒险的；大胆的；充满危险的
9869,guy,n. 男人，家伙
9870,leasing,n. 租赁；（苏）[古]谎言
9871,baby-sitter,保姆
9872,reintroduce,引入
9873,colonization,n. 殖民；殖民地化
9874,panel,n. 仪表板；嵌板；座谈小组，全体陪审员
9875,gunfire,n. 炮火；炮火声
9876,privilege,n. 特权；优待；基本权利
9877,jostle,vt. 推挤，撞；争夺
9878,expose,vt. 使曝光；揭露，揭发；显示
9879,bottled,adj. 瓶装的
9880,mater,n. [英俚]母亲（等于mother）
9881,specify,vt. 指定；列举；详细说明；把…列入说明书
9882,stabilize,vt. 使稳固，使安定
9883,co-star,联合主演
9884,standout,n. 杰出的人；突出度
9885,hired,v. 租用；雇用（hire的过去式及过去分词形式）
9886,trainer,n. 训练员；驯马师；助理教练；飞行练习器
9887,childbirth,n. 分娩
9888,smudge,vt. 弄脏，涂污；用浓烟熏
9889,faintly,adv. 微弱地；模糊地；虚弱地
9890,refurbish,vt. 刷新；再磨光
9891,island,n. 岛；岛屿；安全岛；岛状物
9892,backstage,adv. 向后台；在后台
9893,stake,n. 桩，棍子；火刑；赌注；奖金
9894,proper,adj. 适当的；特有的；本身的；正派的
9895,horizon,n. 地平线；眼界；范围；视野
9896,jeez,呀
9897,auditory,n. 听众；礼堂
9898,synthesizer,合成器
9899,alternately,adv. 交替地；轮流地；隔一个地
9900,breathless,adj. 停止呼吸的；喘不过气来的
9901,infant,n. 婴儿；幼儿；[律]未成年人
9902,uncertain,adj. 含糊的；无常的；靠不住的；迟疑不决的
9903,solidly,adv. 坚硬地；坚固地；团结一致地
9904,intersection,n. 十字路口；交叉点；交叉；交集
9905,eyebrow,n. 眉毛
9906,craftsman,n. 技工；工匠；手艺人
9907,forgo,vt. 放弃；停止；对…断念
9908,methodology,n. 方法学，方法论
9909,delusion,n. 错觉；幻想；迷惑，欺骗
9910,hideout,藏身之处
9911,aspiring,adj. 有抱负的；追求…的；高耸的
9912,muted,adj. 无言的；柔和的；趋缓的
9913,physique,n. 体格，体形
9914,ascribe,vt. 归因于；归咎于
9915,dampen,vt. 抑制；使…沮丧；使…潮湿
9916,trafficking,人口贩卖
9917,rousing,adj. 活泼的；使奋起的；使感动的
9918,dosage,n. 剂量，用量
9919,haste,n. 匆忙；急忙；轻率
9920,sinful,adj. 有罪的
9921,quit,vt. 停止；放弃；离开；使…解除
9922,ply,vt. 使用，不住地使用；折，弯；从事
9923,strict,adj. 严格的；精确的；绝对的；详细的
9924,professionally,adv. 专业地；内行地
9925,unavailable,adj. 难以获得的；不能利用的；不近便的
9926,flatten,vt. 使……平坦；击败，摧毁
9927,stag,n. 牡鹿；不带女伴的舞客；阉割过的雄鹿
9928,rematch,复赛
9929,stipulation,n. 契约；规定；条款；约定
9930,oats,n. 燕麦；燕麦粥；燕麦片（oat的复数）
9931,waterproof,adj. 防水的，不透水的
9932,adultery,n. 通奸，通奸行为
9933,first-degree,一级
9934,undetected,adj. 未被发现的；未检测到的
9935,ATM,abbr. 异步传输模式（Asynchronous Transfer Mode）；自动出纳机（Automatic Teller Machine）；空中交通管理（Air Traffic Management）
9936,escalation,n. 增加；扩大；逐步上升
9937,treachery,n. 背叛；变节；背叛行为
9938,foremost,adj. 最先的；最重要的
9939,memorial,n. 纪念物；纪念碑，纪念馆；纪念仪式
9940,fragmented,adj. 成碎片的；片断的
9941,changed,adj. 变化的；改变的
9942,moderator,n. 仲裁人；[化]慢化剂；调解人；缓和剂
9943,outstrip,vt. 超过；胜过；比…跑得快
9944,mule,n. 骡；倔强之人，顽固的人；杂交种动物
9945,mythological,adj. 神话的；神话学的；虚构的
9946,movie,n. 电影；电影院；电影业
9947,faraway,adj. 遥远的；恍惚的
9948,five,n. 五，五个；[口]五美元钞票
9949,embody,vt. 体现，使具体化；具体表达
9950,levee,n. 堤坝（码头）；（旧时君主或显贵的）早晨接见
9951,dyad,n. 一对；双；[生物]二分体；[化学]二价元素
9952,intuition,n. 直觉；直觉的知识；直觉力
9953,confidently,adv. 自信地；安心地
9954,infinity,n. 无穷；无限大；无限距
9955,powerless,adj. 无力的；无能力的，无权的
9956,frontal,adj. 正面的，前面的；额的
9957,syndrome,n. [医]综合征；[医]综合症状；[医]并发症状；[计]校验子；[计]并发位
9958,overeat,vt. 使吃过量
9959,metabolism,n. 新陈代谢
9960,dripping,n. 滴下物；滴；水滴
9961,shack,n. 小室；棚屋
9962,determinism,决定论
9963,overhaul,vt. 分解检查，大修；追上并超过
9964,warmth,n. 温暖；热情；激动
9965,unnatural,adj. 不自然的；反常的；不近人情的
9966,troupe,n. 一班；一团；剧团
9967,glamorous,adj. 迷人的，富有魅力的
9968,prologue,n. 序言；开场白
9969,generally,adv. 通常；普遍地，一般地
9970,uranium,n. [化]铀
9971,partnership,n. 合伙企业；合伙；合作关系；合伙契约
9972,marginalized,被边缘化
9973,tendon,n. 腱
9974,cognition,n. [哲]认识；[哲]认识能力；知识
9975,beige,n. 米黄色
9976,nigger,n. [俚]黑鬼（蔑称）；社会地位低下的人
9977,sideboard,n. 餐具柜；侧板，边线界墙
9978,conducive,adj. 有助于…的；有益的
9979,defective,adj. 有缺陷的；不完美的
9980,mammoth,n. 长毛象；猛犸象；庞然大物
9981,predecessor,n. 前任，前辈
9982,treasury,n. 财政部；国库，金库；宝库
9983,disabled,adj. 残废的，有缺陷的
9984,referendum,n. 公民投票权；外交官请示书
9985,censor,vt. 审查，检查
9986,lug,n. 支托；接线片；耳状物
9987,articulation,n. 清晰发音；关节；接合
9988,chiefly,adv. 主要地；首先
9989,option,n. 选择权；选项；[经]买卖的特权
9990,treat,vt. 对待；治疗；探讨；视为
9991,trash,n. 垃圾；废物
9992,dagger,n. 匕首，短剑
9993,wanted,adj. 被通缉的
9994,frequently,adv. 时常，屡次；频繁地，经常地
9995,thickly,adv. 厚地；浓地
9996,conceptualize,概念化
9997,revolving,adj. 旋转的
9998,sweatshop,n. 血汗工厂；剥削劳力的工厂
9999,determination,n. 决心；果断
10000,sap,n. 树液；活力；坑道；精力，元气
10001,idealist,n. 空想家，理想主义者；唯心主义者
10002,construe,vt. 解释；分析；翻译
10003,pinnacle,n. 小尖塔；尖峰；高峰；极点
10004,suggestion,n. 示意；建议；微量，细微的迹象
10005,burglar,n. 夜贼，窃贼
10006,intimately,adv. 亲切地；熟悉地；私下地
10007,scold,vi. 责骂；叱责
10008,throttle,n. 节流阀；风门；喉咙
10009,prepaid,adj. 先付的，已支付的
10010,specified,adj. 规定的；详细说明的
10011,booze,n. 酒；酒宴
10012,perestroika,改革
10013,campfire,n. 营火；营火会
10014,festival,n. 节日；庆祝，纪念活动；欢乐
10015,take,vt. 拿，取；接受；采取；吃
10016,vehemently,强烈
10017,pitiful,adj. 可怜的，令人同情的
10018,shriek,vi. 尖叫；促人注意
10019,abduction,n. 诱拐，绑架；诱导
10020,overlay,n. 覆盖物；覆盖图
10021,revolve,vi. 旋转；循环出现；反复考虑
10022,subtly,adv. 敏锐地；精细地；巧妙地
10023,clerical,adj. 牧师的；办事员的；书记的
10024,op-ed,
10025,monarch,n. 君主，帝王；最高统治者
10026,cavern,n. 洞穴；凹处
10027,prerogative,n. 特权
10028,hem,n. 摺边；边，边缘
10029,prowl,vi. 徘徊，潜行
10030,involve,vt. 包含；牵涉；使陷于；潜心于
10031,duke,n. 公爵，（公国的）君主；[植]公爵（种）樱桃
10032,steamy,adj. 蒸汽的；充满蒸汽的；雾重的，潮湿的
10033,antisocial,反社会的
10034,astonished,adj. 吃惊的
10035,spec,n. 投机；细则；说明书
10036,padding,n. 填料；垫料
10037,Argentine,adj. 阿根廷的；银的
10038,multilateral,多边的
10039,shorten,vt. 缩短；变短；减少
10040,quadrant,n. 象限；象限仪；四分之一圆
10041,man-made,人造的
10042,simulation,n. 模拟；仿真；模仿；假装
10043,magnate,n. 巨头；大资本家；要人；富豪；……大王
10044,truck,n. 卡车；手推车；交易
10045,three,n. 三，三个
10046,intriguing,adj. 迷人的；有趣的
10047,scramble,vt. 攀登；使混杂，仓促凑成；扰乱
10048,timetable,n. 时间表；课程表；时刻表
10049,beak,n. 鸟嘴；鹰钩鼻子；地方执法官；男教师
10050,bristle,n. 猪鬃；刚毛
10051,mister,n. 先生；平民
10052,reprehensible,adj. 应斥责的；应该谴责的
10053,verify,vt. 核实；查证
10054,shallow,adj. 浅的；肤浅的
10055,waking,adj. 醒着的
10056,reincarnation,转世
10057,sweetly,adv. 惬意地；讨人喜欢地；温柔地；甜美地
10058,localize,vt. 使地方化；使局部化；停留在一地方
10059,dig,vt. 挖，掘；探究
10060,tenure,n. 占有；任期
10061,misunderstand,vt. 误解；误会
10062,collage,n. 抽象拚贴画（用报纸、布、压平的花等碎片拼合而成的）
10063,understand,vt. 懂；理解；获悉；推断；省略
10064,splice,vt. 接合；拼接；使结婚
10065,fallout,n. 原子尘；放射性尘埃；原子尘微粒回降；附带结果
10066,relationship,n. 关联；关系
10067,shining,adj. 华丽的；光亮的
10068,knowledge,n. 知识，学问；知道，认识；[古]学科
10069,canister,n. （放咖啡，茶叶，烟等的）小罐；筒；[军]防毒面具的滤毒罐
10070,rebate,vt. 减少；打折扣
10071,string,n. 线，细绳；一串，一行
10072,meticulously,一丝不苟地
10073,pedagogy,n. 教育学；教育；教授法
10074,regain,vt. 恢复；收回；重新获得
10075,spook,n. 幽灵；鬼
10076,sympathizer,同情
10077,Irish,adj. 爱尔兰的；爱尔兰人的
10078,showy,adj. 艳丽的；显眼的；炫耀的
10079,stilt,n. 高跷；支柱，支撑物
10080,overhear,vt. 无意中听到；偷听
10081,negligence,n. 粗心大意；忽视；疏忽
10082,onstage,在舞台上
10083,schoolgirl,n. 女学生
10084,blah,n. [俚]废话；空话；瞎说
10085,netting,n. 网；网鱼；结网
10086,eminently,非常
10087,richness,n. 丰富；富裕；肥沃；华美
10088,submerged,adj. 水下的，在水中的
10089,reality,n. 现实；真实；实际
10090,decorated,adj. 装饰的，修饰的
10091,backseat,后座
10092,pastor,n. 牧师
10093,third-quarter,第三季
10094,fraught,adj. [口]担心的，忧虑的；充满…的
10095,sinus,n. 静脉窦；窦；下陷或凹下去的地方
10096,fertile,adj. 富饶的，肥沃的；能生育的
10097,vaccine,n. 疫苗；牛痘苗
10098,pecan,n. 美洲山核桃；美洲山核桃树
10099,housekeeping,n. 家政；家务管理；家用开支
10100,blister,n. 水疱；水泡；气泡；砂眼；起泡剂
10101,institutionalized,adj. 使成惯例的；有组织的；遭受收容机构所产生的不良影响的
10102,spy,vt. 侦察；发现；暗中监视
10103,budge,vi. 挪动；微微移动；改变态度或意见；服从
10104,saturated,adj. 饱和的；深颜色的；渗透的
10105,usage,n. 用法；使用；惯例
10106,impossibility,n. 不可能；不可能的事
10107,method,n. 方法；条理；[计]类函数
10108,biotech,生物技术
10109,whereas,conj. 鉴于；反之；然而
10110,bedding,n. 寝具；（建筑）基床；（家畜）草垫
10111,peacekeeping,维和
10112,imperialist,帝国主义
10113,rebirth,n. 复兴；再生
10114,through,prep. 穿过；通过；凭借
10115,shrivel,枯萎
10116,illusion,n. 幻觉，错觉；错误的观念或信仰
10117,slog,vt. 猛击；步履艰难地行
10118,discreetly,小心翼翼地
10119,unify,vt. 统一；使相同，使一致
10120,newsstand,n. 报摊；杂志摊
10121,allusion,n. 暗示；提及
10122,garrison,n. 要塞；卫戍部队
10123,diverse,adj. 不同的；变化多的；多种多样的
10124,swollen,adj. 肿胀的，浮肿的；浮夸的；激动兴奋的
10125,forage,n. 饲料；草料；搜索
10126,partisanship,n. 党派性；对党派的忠诚；党派偏见
10127,binary,adj. 二元的，二态的；二进制的
10128,dated,adj. 有日期的；陈旧的；过时的
10129,Dane,n. 丹麦人；戴恩（男子名）
10130,antioxidant,n. 抗氧化剂；硬化防止剂；防老化剂
10131,thorny,adj. 痛苦的；多刺的；令人苦恼的
10132,blackout,n. 灯火管制；灯火熄灭；暂时的意识丧失
10133,quarrel,vi. 吵架；争论；挑剔
10134,topple,vi. 倾倒；倒塌；摇摇欲坠
10135,pricing,n. 定价
10136,ignorance,n. 无知，愚昧；不知，不懂
10137,grandmother,n. 祖母；女祖先
10138,Arabian,adj. 阿拉伯的；阿拉伯人的
10139,murky,adj. 黑暗的；朦胧的；阴郁的
10140,heal,vt. 治愈，痊愈；和解
10141,restoring,adj. 恢复的
10142,repellent,adj. 弹回的；排斥的；防水的；令人讨厌的
10143,bookshelf,n. 书架
10144,fade,vi. 褪色；凋谢；逐渐消失
10145,espouse,vt. 嫁娶；支持；赞成；信奉
10146,preoccupation,n. 全神贯注，入神；关注的事物；抢先占据；当务之急；成见
10147,censored,审查
10148,condone,vt. 宽恕；赦免
10149,ferocity,n. 凶猛；残忍；暴行
10150,bulldozer,n. 推土机；[俚]欺凌者，威吓者
10151,menu,n. 菜单
10152,contemplation,n. 沉思；注视；意图
10153,grapple,vi. 抓住；格斗；抓斗机
10154,rehabilitation,n. 复原
10155,gulp,vt. 狼吞虎咽地吃；大口地吸
10156,subgroup,n. 小群；隶属的小组织
10157,lagoon,n. 泻湖；环礁湖；咸水湖
10158,community-based,基于社区
10159,etiology,病因
10160,homeland,n. 祖国；故乡
10161,garage,n. 车库；汽车修理厂；飞机库
10162,rationalization,n. 合理化
10163,bloated,adj. 傲慢的；发胀的，浮肿的
10164,woodpecker,n. 啄木鸟
10165,homophobia,恐同症
10166,headstone,n. 基石；墓石
10167,profitable,adj. 有利可图的；有益的；赚钱的
10168,demise,n. 死亡，终止；传位；转让
10169,sociologist,n. 社会学家
10170,spear,n. 矛，枪
10171,pertinent,adj. 相关的，相干的；中肯的；切题的
10172,Icelandic,冰岛
10173,bogus,adj. 伪造的；假的
10174,delicacy,n. 微妙；精密
10175,title,n. 标题；头衔；冠军；权利；字幕
10176,seize,vt. 抓住；夺取；逮捕；理解
10177,sprig,n. 小枝；图钉；[口]年青人；子孙
10178,mash,n. 糊状物；饲料；麦芽浆
10179,flak,n. [军]高射炮；谴责；抨击
10180,delve,vi. 钻研；探究；[英古]挖
10181,handcuff,vt. 给…戴上手铐；限制
10182,inland,n. 内地；内陆
10183,trolley,n. 手推车；空中吊运车；（美）无轨电车（等于streetear）；（英）有轨电车（等于trolleybus）
10184,docket,n. 摘要；记事表；[律]（待判决的）诉讼事件表
10185,unqualified,adj. 不合格的；无资格的；不胜任的
10186,gift,n. 礼物；赠品；天赋
10187,adamant,adj. 坚定不移的；坚硬无比的；固执的，坚强的
10188,cashier,n. 出纳员；司库
10189,afloat,adj. 飘浮的；在海上的；浸满水的；在传播的
10190,gallop,n. 疾驰；飞奔
10191,purely,adv. 纯粹地；贞淑地；清洁地；完全地；仅仅，只不过
10192,gothic,adj. 哥特式的；野蛮的
10193,frill,n. 褶边；装饰
10194,its,pron. 它的
10195,jiggle,摇晃
10196,ecology,n. 生态学；社会生态学
10197,insofar,如果
10198,disturbing,adj. 烦扰的；令人不安的
10199,economically,adv. 经济地；节俭地；在经济上
10200,dietary,n. 规定的食物；饮食的规定
10201,imaginary,adj. 虚构的，假想的；想像的；虚数的
10202,covenant,n. 契约，盟约；盖印合同；圣约
10203,gust,n. 一阵狂风；风味；趣味
10204,wildlife,n. 野生动植物
10205,flirt,vi. 调情；玩弄；轻率地对待；摆动
10206,inflame,vt. 激怒；使燃烧；使发炎
10207,full-service,全方位服务
10208,dick,n. 侦探；誓言；阴茎，鸡巴
10209,Nicaraguan,尼加拉瓜
10210,furthermore,adv. 此外；而且
10211,high-risk,高风险
10212,astonishment,n. 惊讶；令人惊讶的事物
10213,convent,n. 女修道院
10214,dwell,vi. 居住；存在于；细想某事
10215,GI,adj. 军用的；美国军人的
10216,stylistic,adj. 体裁上的；格式上的；文体论的
10217,corpus,n. 文集；本金；语料库
10218,found,vt. 创立，建立；创办
10219,exquisite,adj. 优美的，高雅的；精致的；剧烈的；细腻的；异常的
10220,undoubtedly,adv. 确实地，无庸置疑地
10221,esteemed,adj. 受人尊敬的
10222,tint,n. 色彩；浅色
10223,contextual,adj. 上下文的；前后关系的
10224,quartz,n. [矿]石英
10225,barricade,n. 路障；街垒；争论之处
10226,tainted,adj. 污染的；感染的
10227,truthfully,adv. 诚实地；深信不疑地
10228,homely,adj. 平凡的；家庭的；不好看的
10229,concerted,adj. 协定的；商议定的；协调的
10230,trance,n. 恍惚；出神；着迷，入迷
10231,dummy,adj. 假的；虚拟的
10232,subvert,vt. 推翻；颠覆；破坏
10233,bog,n. 沼泽；泥塘
10234,ruthless,adj. 无情的，残忍的
10235,rife,adj. 流行的；普遍的；盛传的
10236,madly,adv. 精神失常地；发狂地；疯狂地
10237,timing,n. 定时；时间选择；调速
10238,lane,n. 小巷；航线；车道；[篮球]罚球区
10239,fierce,adj. 凶猛的；暴躁的；猛烈的
10240,deduct,vt. 扣除，减去；演绎
10241,rumor,n. 谣言；传闻
10242,academia,n. 学术界；学术生涯
10243,tangible,adj. 有形的；可触摸的；切实的
10244,dozen,n. 十二个，一打
10245,urging,v. 说服，催促；激励，驱策；清除（urge的ing形式）
10246,penalty,n. 处罚；罚款，罚金
10247,vice-president,副总统
10248,vulnerability,n. 弱点；易损性
10249,impropriety,n. 不适当；不正确；用词错误；不正当行为
10250,destination,n. 目的地，终点
10251,edible,adj. 可食用的
10252,wrought,adj. 锻造的；加工的；精细的
10253,semantics,n. [语]语义学；语义论
